Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg16,CONV1,256,113860,6.45612e+08,747.96,1158.53,1.43977e+08,3680.52,256,382.341,484,9,2450,54,1,1,150528,1728,1.3191e+08,85162752,2816.18,56.5248,4,803.819,85162752, 28759232, 28759232, 150528, 2.96123, 85162752, 1728, 1728, 1728, 49284, 85162752, 85162752, 3154176, 9462528, 1, 1, 4, 3, 1, 1, 1, 2, 2, 2, 253.714, 2.25
vgg16,CONV2,256,2428932,1.43412e+10,747.985,52.1564,1.43977e+08,3680.52,256,382.407,484,9,2450,54,1,1,3211264,36864,1.26684e+08,1816805376,2816.18,56.5248,4,803.819,1816805376, 613953216, 613953216, 3211264, 2.95919, 1816805376, 36864, 36864, 36864, 49284, 1816805376, 1816805376, 3154176, 201867264, 1, 1, 4, 3, 1, 1, 1, 2, 2, 2, 253.714, 2.25
vgg16,CONV3,256,1269764,1.87515e+10,702.578,37.4679,1.43977e+08,3680.52,256,330.425,484,9,2450,54,1,1,802816,73728,4.75754e+07,892108800,2816.18,56.5248,4,803.819,892108800, 303061440, 303061440, 802816, 2.94366, 892108800, 73728, 73728, 73728, 12100, 892108800, 892108800, 1548800, 99123200, 1, 1, 4, 2, 1, 1, 1, 2, 2, 2, 220, 2.25
vgg16,CONV4,256,2539524,1.94448e+10,702.58,36.132,1.43977e+08,3680.52,256,330.431,484,9,2450,54,1,1,1605632,147456,9.17582e+07,1784217600,2816.18,56.5248,4,803.819,1784217600, 606165440, 606165440, 1605632, 2.94345, 1784217600, 147456, 147456, 147456, 12100, 1784217600, 1784217600, 1548800, 198246400, 1, 1, 4, 2, 1, 1, 1, 2, 2, 2, 220, 2.25
vgg16,CONV5,256,1343492,1.82204e+10,640.096,35.1307,1.43977e+08,3680.52,256,313.725,484,9,2450,54,1,1,401408,294912,4.71978e+07,859963392,2816.18,56.5248,4,803.819,859963392, 287485888, 287485888, 401408, 2.99132, 859963392, 294912, 294912, 294912, 2916, 859963392, 859963392, 746496, 95551488, 1, 1, 4, 2, 1, 1, 1, 2, 2, 2, 216, 2.25
vgg16,CONV6,256,2686980,1.8584e+10,640.097,34.4433,1.43977e+08,3680.52,256,313.737,484,9,2450,54,1,1,802816,589824,9.25486e+07,1719926784,2816.18,56.5248,4,803.819,1719926784, 575057856, 575057856, 802816, 2.99088, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 191102976, 1, 1, 4, 2, 1, 1, 1, 2, 2, 2, 216, 2.25
vgg16,CONV7,256,2686980,2.42454e+10,640.097,26.4007,1.43977e+08,3680.52,256,313.737,484,9,2450,54,1,1,802816,589824,7.09382e+07,1719926784,2816.18,56.5248,4,803.819,1719926784, 575057856, 575057856, 802816, 2.99088, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 191102976, 1, 1, 4, 2, 1, 1, 1, 2, 2, 2, 216, 2.25
vgg16,CONV8,256,1441796,1.75773e+10,553.089,31.4662,1.43977e+08,3680.52,256,268.841,394,9,1994,54,1,1,200704,1179648,4.53678e+07,797442048,2816.18,56.5248,4,803.819,797442048, 280618764, 280618764, 200704, 2.84173, 797442048, 1179648, 1179648, 1179648, 676, 797442048, 797442048, 346112, 88604672, 1, 1, 4, 2, 1, 1, 1, 2, 2, 2, 208, 0.75
vgg16,CONV9,256,2883588,1.7784e+10,553.09,31.1004,1.43977e+08,3680.52,256,268.858,394,9,1994,54,1,1,401408,2359296,8.96808e+07,1594884096,2816.18,56.5248,4,803.819,1594884096, 561374988, 561374988, 401408, 2.84103, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 177209344, 1, 1, 4, 2, 1, 1, 1, 2, 2, 2, 208, 0.75
vgg16,CONV10,256,2883588,2.30565e+10,553.09,23.9884,1.43977e+08,3680.52,256,268.858,394,9,1994,54,1,1,401408,2359296,6.91727e+07,1594884096,2816.18,56.5248,4,803.819,1594884096, 561374988, 561374988, 401408, 2.84103, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 177209344, 1, 1, 4, 2, 1, 1, 1, 2, 2, 2, 208, 0.75
vgg16,CONV11,256,1048578,1.31034e+10,323.999,24.7264,1.43977e+08,3680.52,256,106.729,184,9,930,54,1,1,100352,2359296,2.59276e+07,339738624,2816.18,56.5248,4,803.819,339738624, 109509992, 109509992, 100352, 3.10235, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 37748736, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 96, 1.5
vgg16,CONV12,256,1048578,4.79224e+09,323.999,67.6092,1.43977e+08,3680.52,256,106.729,184,9,930,54,1,1,100352,2359296,7.08935e+07,339738624,2816.18,56.5248,4,803.819,339738624, 109509992, 109509992, 100352, 3.10235, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 37748736, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 96, 1.5
vgg16,CONV13,256,1048578,4.79224e+09,323.999,67.6092,1.43977e+08,3680.52,256,106.729,184,9,930,54,1,1,100352,2359296,7.08935e+07,339738624,2816.18,56.5248,4,803.819,339738624, 109509992, 109509992, 100352, 3.10235, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 37748736, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 96, 1.5
